adjective;A;E;C;N;O
explosive;-0.25;0.25;-0.1;0.21;-0.04
witty;-0.01;0.24;-0.03;-0.15;0.21
persistent;-0.1;0.23;0.2;-0.01;0.12
proud;-0.09;0.2;0.16;0.01;0.07
impetuous;-0.04;0.17;-0.17;0.12;0.06
intrusive;-0.13;0.16;-0.05;0.03;-0.14
withdrawn;-0.05;-0.67;-0.04;0.02;0.08
silent;-0.07;-0.66;0.08;-0.08;-0.02
introverted;-0.02;-0.65;0.01;0.03;0.1
shy;0.18;-0.65;0.06;0.03;-0.01
quiet;-0.15;-0.64;0.15;-0.09;0.12
reserved;0.09;-0.6;0.22;-0.06;0.02
timid;0.3;-0.6;-0.01;0.08;-0.11
bashful;0.22;-0.59;0.05;0.03;-0.02
unsociable;-0.17;-0.59;0.02;-0.04;0.16
unaggressive;0.35;-0.57;-0.14;-0.07;0.06
inhibited;0.09;-0.54;-0.02;0.15;-0.06
uncommunicative;-0.18;-0.52;-0.07;-0.08;-0.01
passive;0.22;-0.48;-0.06;-0.03;-0.19
meek;0.22;-0.48;-0.08;0.02;-0.22
restrained;0.12;-0.47;0.2;-0.1;0.03
dull;-0.03;-0.46;-0.05;-0.02;-0.05
bland;-0.02;-0.44;0.07;-0.09;-0.19
sedate;0.07;-0.41;0.06;-0.11;-0.1
somber;-0.09;-0.41;0.12;-0.03;-0.14
melanchonic;0;-0.4;-0.04;0.2;-0.09
unfriendly;-0.28;-0.4;-0.03;-0.01;0.15
unadventurous;0.1;-0.38;0.01;0.08;-0.08
detached;-0.18;-0.37;-0.08;-0.12;0.07
uncompetitive;0.29;-0.37;-0.18;-0.07;0.14
submissive;0.34;-0.36;-0.09;0.11;-0.23
cowardly;0.25;-0.36;-0.15;0.26;-0.05
indirect;0.11;-0.35;-0.14;0.06;0.01
pessimistiv;-0.14;-0.35;-0.07;0.24;0.02
negativistic;-0.31;-0.34;-0.08;0.31;-0.03
placid;0.12;-0.34;0.1;-0.2;-0.04
sluggish;-0.04;-0.33;-0.19;0.09;-0.11
nonpersistent;0.16;-0.33;-0.23;-0.14;-0.04
serious;0.03;-0.31;0.31;0.04;0.17
aloof;-0.2;-0.3;-0.03;0.03;0.06
vague;0.03;-0.28;-0.28;0.11;-0.07
docile;0.24;-0.28;0.05;-0.04;-0.19
secretive;-0.07;-0.28;0.02;0.11;-0.04
unimaginative;0.05;-0.25;0;-0.07;-0.22
wary;-0.06;-0.25;0.07;0.09;0.18
lethargic;-0.07;-0.25;-0.19;0.04;-0.16
unaffectionate;-0.15;-0.25;0;-0.22;0.13
prudish;0.13;-0.24;0.15;0.12;-0.17
apathetic;-0.08;-0.23;-0.04;-0.01;-0.18
humorless;-0.06;-0.23;0.13;-0.1;-0.06
impartial;0.08;-0.23;0.08;-0.17;0.12
organized;0.08;-0.06;0.65;0.08;-0.02
precise;-0.02;-0.01;0.61;-0.01;0.12
responsible;0.28;-0.02;0.59;-0.06;0.08
thorough;0.04;0;0.58;-0.11;0.13
efficient;0.09;0.01;0.57;0;0.07
orderly;0.08;-0.06;0.57;0.11;-0.06
self-disciplined;0.12;0.01;0.55;-0.16;0.09
practical;0.14;-0.08;0.54;-0.16;0.04
systematic;0.05;-0.12;0.54;-0.04;0.08
dependable;0.31;-0.05;0.51;-0.06;-0.01
reliable;0.33;-0.02;0.49;-0.07;0.03
exacting;-0.08;-0.02;0.47;0.02;0.1
concise;0.05;0;0.46;-0.13;0.13
carfeful;0.19;-0.22;0.46;0.01;0.01
prompt;0.16;-0.03;0.46;0.05;-0.03
logical;-0.03;-0.04;0.46;-0.22;-0.07
consistent;0.05;-0.03;0.45;-0.34;0.27
steady;0.17;-0.01;0.44;-0.33;0.06
meticulous;0.01;-0.11;0.44;0.09;0.04
decisive;-0.03;0.18;0.43;-0.22;0.15
punctual;0.14;-0.08;0.4;0.04;0.03
firm;-0.17;0.17;0.4;-0.15;0.08
economical;0.14;-0.13;0.39;-0.14;0.01
cautious;0.14;-0.32;0.39;0.12;-0.03
strict;-0.14;-0.04;0.38;0.12;-0.11
purposeful;0.11;0.15;0.38;-0.1;0.19
dignified;0.06;0.07;0.38;0;0.04
formal;0.07;-0.09;0.37;0.14;-0.14
perfectionistic;-0.07;-0.07;0.37;0.16;0.13
mature;0.2;-0.01;0.37;-0.21;0.2
industrious;0.07;0.12;0.36;-0.14;0.25
stern;-0.29;0.02;0.36;0.01;-0.15
controlled;0.11;-0.17;0.36;-0.22;-0.02
alert;0.11;0.16;0.36;-0.09;0.2
rational;0.13;-0.08;0.35;-0.24;0.32
thrifty;0.12;-0.14;0.34;-0.12;-0.03
ambitious;0.04;0.28;0.34;0.03;0.11
conservative;0.09;-0.2;0.32;0;-0.28
wise;0.07;0.08;0.3;-0.21;0.28
sophisticated;0.14;0.13;0.3;0.07;0.18
foresighted;0.12;-0.02;0.29;-0.11;0.27
deliberate;-0.08;0;0.28;-0.09;0.12
refined;0.25;-0.05;0.27;0.07;0.15
principled;0.2;-0.08;0.27;-0.1;0.15
cultured;0.21;0.05;0.27;0.06;0.18
objective;0.15;-0.04;0.27;-0.16;0.22
moralistic;0.23;-0.11;0.26;0.07;-0.23
discreet;0.24;-0.26;0.26;-0.09;0.18
poised;0.18;0.13;0.26;-0.11;0.12
disorganized;0.01;0.01;-0.64;-0.06;0.07
haphazard;-0.1;0.04;-0.57;0;-0.09
disorderly;-0.08;0.05;-0.57;-0.13;0.05
careless;-0.09;0.06;-0.57;-0.01;-0.04
infefficient;0.01;-0.16;-0.54;-0.04;0.06
impractical;-0.06;-0.02;-0.53;0.11;-0.01
unreliable;-0.18;0.02;-0.51;-0.01;0.01
inconsistent;-0.06;-0.05;-0.51;0.22;0.06
absent-minded;0.02;-0.1;-0.5;0.05;0.09
scatterbrained;0.13;0.01;-0.47;0.15;-0.01
illogical;0.07;0;-0.46;0.14;-0.14
sloppy;-0.1;-0.01;-0.46;-0.17;0.08
undependable;-0.13;0;-0.45;-0.04;0.1
immature;-0.05;0;-0.44;0.16;-0.09
erratic;-0.13;-0.01;-0.43;0.19;0.12
negligient;-0.16;-0.07;-0.43;0.03;-0.12
reckless;-0.21;0.18;-0.43;-0.03;0.07
indecisive;0.12;-0.27;-0.41;0.2;-0.09
forgetful;0.02;-0.06;-0.4;0.08;0.02
lazy;-0.02;-0.24;-0.4;0.1;-0.02
unstable;0;-0.2;-0.39;0.28;0.05
aimless;-0.07;-0.21;-0.38;-0.16;-0.05
foolhardy;-0.02;0.14;-0.38;0;-0.18
impulsive;0.06;0.26;-0.37;0.21;0.06
lax;0.02;-0.09;-0.36;-0.08;-0.09
wishy-washy;0.07;-0.26;-0.33;0.14;-0.06
wasteful;-0.06;0.06;-0.32;0.09;-0.03
unambitious;0.06;-0.27;-0.3;-0.09;-0.03
frivolous;0.07;0.09;-0.3;0.21;-0.04
rash;-0.18;0.11;-0.29;0.12;-0.04
unsophisticated;0.03;-0.17;-0.25;-0.22;-0.1
dishonest;-0.2;0.01;-0.25;0.05;0.05
unobservant;0.04;-0.12;-0.24;-0.12;-0.23
indiscreet;-0.11;0.14;-0.21;-0.03;-0.16
lustful;-0.16;0.07;-0.2;0.12;0.11
indulgent;0.04;0.11;-0.18;0.1;0.09
transparent;0.08;-0.03;-0.13;0.1;-0.12
moody;-0.13;-0.17;-0.07;0.53;0.04
touchy;0.06;-0.15;0.01;0.51;-0.14
temperamental;-0.2;-0.05;-0.05;0.51;0.01
irritable;-0.27;-0.11;-0.01;0.49;-0.03
emotional;0.38;0.12;-0.09;0.49;-0.02
jealous;-0.09;-0.07;-0.06;0.47;-0.1
envious;-0.04;-0.12;-0.1;0.47;-0.08
possessive;-0.07;-0.01;0.11;0.46;-0.07
fretful;0.07;-0.24;-0.07;0.45;-0.05
impatient;-0.23;0;-0.02;0.44;0.01
self-pitying;-0.03;-0.36;-0.08;0.43;-0.03
nervous;0.08;-0.23;-0.05;0.42;-0.05
crabby;-0.24;-0.15;-0.01;0.42;-0.07
defensive;-0.17;-0.17;-0.04;0.41;-0.05
grumpy;-0.27;-0.19;-0.03;0.4;-0.07
high-strung;-0.03;0.1;-0.08;0.4;0.03
insecure;0.06;-0.36;-0.29;0.39;0.02
cranky;-0.3;-0.08;-0.05;0.39;-0.11
fearful;0.18;-0.24;-0.06;0.38;-0.12
faultfinding;-0.31;-0.1;0.05;0.38;-0.02
quarrelsome;-0.36;0.11;-0.01;0.38;-0.05
anxious;0.05;-0.02;0;0.38;-0.13
finicky;-0.06;-0.06;0.07;0.35;-0.02
snobbish;-0.25;0;-0.05;0.33;0.08
bossy;-0.31;0.3;0.04;0.32;-0.02
gossipy;0.08;0.13;-0.19;0.32;-0.15
nosey;-0.04;0.16;-0.15;0.32;-0.14
selfish;-0.24;0.3;-0.14;0.31;0.21
excitable;0.22;0.05;-0.07;0.31;-0.1
restless;-0.1;0.12;-0.2;0.3;0.07
compulsive;-0.02;-0.09;-0.26;0.26;0.02
hypocritical;-0.16;-0.05;-0.18;0.26;-0.14
obsessive;-0.18;0.16;-0.12;0.25;-0.04
meddlesome;-0.05;0.21;-0.08;0.25;-0.16
extravagant;0.01;0.11;-0.13;0.24;0
volatile;-0.05;0.08;-0.08;0.22;-0.03
self-indulgent;-0.09;0.05;-0.15;0.22;0.13
superstitious;0.05;0.17;-0.08;0.1;-0.09
relaxed;0.21;-0.16;0.04;-0.48;-0.02
unemotional;-0.3;-0.26;0.08;-0.47;0.05
patient;0.3;-0.13;0.11;-0.44;0.07
masculine;-0.34;0.01;0.05;-0.43;0.1
undemanding;0.3;-0.23;-0.13;-0.42;0
easy-going;0.3;0.22;-0.15;-0.41;-0.06
unexcitable;-0.19;-0.34;0.04;-0.41;0.13
courageous;-0.08;0.33;0.1;-0.35;0.07
brave;-0.09;0.3;0.13;-0.35;0.07
informal;0.07;0.01;-0.26;-0.33;0.23
down-to-earth;0.24;-0.01;0.14;-0.28;0.09
passionless;-0.19;0.21;0.03;0.28;0.03
earthy;0.22;-0.03;-0.01;-0.26;0.18
nonchalent;-0.01;0.04;-0.09;-0.26;0.03
unassuming;0.16;0.08;-0.14;-0.26;0.16
casual;0.12;0.18;-0.16;-0.25;0
weariless;-0.01;0.03;0.08;-0.23;0.06
intelligent;0.03;0.04;0.16;-0.13;0.55
intellectual;-0.02;0.02;0.21;-0.08;0.5
smart;0.03;-0.1;0.18;-0.17;0.49
complex;0;-0.03;-0.04;0.14;0.48
philosophical;0.03;0.13;0.01;-0.04;0.47
innovative;0.04;0.12;0.09;-0.16;0.44
bright;0.09;0.03;0.12;-0.12;0.44
unconventional;-0.02;0.05;-0.32;-0.1;0.44
knowledgeable;0.02;-0.07;0.26;-0.16;0.43
deep;0.2;0.11;0.03;0.01;0.43
ingenious;-0.02;0.09;0.06;-0.18;0.43
inquisitive;0.05;-0.04;-0.03;0;0.43
insightful;0.11;0.04;0.01;-0.1;0.42
nonconforming;-0.09;-0.12;-0.17;-0.17;0.42
analytical;-0.08;-0.26;0.27;-0.02;0.42
introspective;0.12;-0.24;-0.05;0.05;0.41
contemplative;0.15;0.04;0.02;0.03;0.41
perceptive;0.14;0.1;0.19;-0.04;0.4
articulate;0.07;0.16;0.15;0.01;0.38
inventive;-0.04;0.1;0.06;-0.17;0.36
creative;0.07;0.02;0;-0.08;0.33
shrewd;-0.33;0.08;0.02;-0.09;0.33
individualistic;-0.17;0.18;0.06;-0.13;0.33
clever;-0.09;0.12;0.14;-0.21;0.33
intense;-0.02;0.14;0.11;0.12;0.31
imaginative;0.05;0.2;-0.04;-0.05;0.31
independent;-0.14;-0.21;0.18;-0.2;0.3
self-critical;0.18;0.16;0.03;0.24;0.3
progressive;0.15;0.08;0.17;-0.08;0.28
diplomatic;0.23;-0.01;0.13;-0.06;0.28
empathic;0.22;0.16;-0.01;0.03;0.28
versatile;0.12;-0.19;0.09;-0.23;0.27
distrustful;-0.27;0.02;-0.11;0.18;0.27
idealistic;0.18;0.18;-0.1;0.12;0.26
eloquent;0.1;0.01;0.16;0;0.25
artistic;0.12;0.15;0.01;0.01;0.25
candid;-0.01;0.2;-0.06;-0.1;0.25
worldly;-0.04;0.1;0.09;-0.04;0.24
unpredictable;0.03;-0.11;-0.17;0.12;0.23
scrupulous;0.04;0.13;0.12;-0.09;0.23
curious;0.05;0.1;0.02;0.05;0.23
tenacious;-0.06;0.13;0.1;-0.05;0.22
animated;0.17;0.16;-0.19;0.05;0.21
sensual;0.12;-0.17;-0.13;0.16;0.21
ethical;0.2;-0.1;0.18;-0.1;0.2
autonomous;-0.03;-0.18;0.13;-0.12;0.18
subjective;0.04;-0.01;-0.02;0.05;0.06
simple;0.12;-0.13;0.01;-0.17;-0.45
conventional;0.12;-0.13;0.33;-0.06;-0.38
traditional;0.14;-0.14;0.28;0.02;-0.36
uninquisitive;-0.03;-0.21;0;-0.14;-0.35
unintelligent;0.07;-0.09;-0.16;-0.02;-0.34
surly;-0.24;0.03;0.13;-0.04;-0.31
pompous;-0.16;0.12;0.07;0.08;-0.31
dependent;0.22;-0.14;-0.07;0.18;-0.29
shallow;-0.1;-0.12;-0.09;-0.03;-0.29
unintellectual;0.1;-0.1;-0.2;-0.09;-0.27
patronizing;-0.02;0.03;0.04;0.06;-0.27
ignorant;0.04;-0.07;-0.18;0.02;-0.27
inarticulate;0.03;-0.15;-0.12;-0.12;-0.26
pretentious;-0.15;0.14;-0.02;0.1;-0.25
unscrupulous;-0.06;0.08;-0.06;-0.05;-0.24
predictable;0.04;-0.19;0.14;-0.19;-0.22
condescending;-0.11;-0.07;0.06;0.06;-0.15
dogmatic;-0.1;-0.04;0.06;0.01;-0.11
sympathetic;0.62;0.02;0.05;0.07;0.03
kind;0.6;0.07;0.06;0.02;0
warm;0.56;0.26;0.06;0.1;0.07
understanding;0.53;0.03;0.1;-0.04;0.13
corteous;0.53;-0.07;0.23;0.02;0
compassionate;0.53;0.12;0.02;0.13;0.18
cooperative;0.52;-0.04;0.22;-0.18;-0.03
polite;0.52;-0.07;0.3;0.04;-0.07
affectionate;0.52;0.21;-0.01;0.21;0.09
considerate;0.51;-0.01;0.18;-0.07;0.05
respectful;0.51;-0.04;0.31;-0.02;-0.16
sincere;0.51;-0.01;0.12;-0.05;0.1
sentimental;0.49;0.08;0.01;0.34;-0.09
cordial;0.48;0.07;0.01;0.02;0.16
helpful;0.47;0.14;0.19;-0.14;0.09
tolerant;0.47;-0.17;-0.07;-0.36;0.13
charitable;0.46;0.12;0.04;-0.14;0.11
sensitive;0.46;-0.1;0;0.35;0.23
agreeable;0.46;-0.07;-0.01;-0.16;0.03
pleasant;0.46;0.22;0.03;0.22;-0.06
feminine;0.45;0;-0.06;0.37;0.02
trustful;0.43;0.06;0.15;-0.23;-0.13
loyal;0.43;0.06;0.13;-0.03;0.09
thoughtful;0.43;-0.07;0.2;-0.03;0.15
peaceful;0.42;-0.08;0.1;-0.32;-0.02
obliging;0.42;-0.08;0.05;-0.11;0.03
generous;0.41;0.15;-0.03;-0.15;0.04
amiable;0.4;0.08;-0.08;-0.08;0.27
cheerful;0.4;0.38;0.03;-0.22;-0.06
mannerly;0.4;-0.09;0.34;0.1;-0.02
flexible;0.39;0.07;-0.02;-0.2;0.13
reasonable;0.39;-0.06;0.25;-0.25;0.12
modest;0.38;-0.29;0.18;-0.08;-0.01
genial;0.37;0.14;-0.08;-0.03;0.3
jovial;0.37;0.36;-0.06;-0.13;0.09
accomodating;0.37;0.02;0.03;-0.12;0.01
humble;0.35;-0.21;0.12;-0.17;-0.12
gullible;0.35;-0.1;-0.28;0.27;-0.18
moral;0.33;-0.09;0.26;-0.02;-0.02
honest;0.33;0.01;0.22;-0.17;0.04
religious;0.32;0.01;0.17;0.06;-0.18
passionate;0.31;0.2;-0.04;0.27;0.09
optimistic;0.31;0.3;0.09;-0.24;0.02
lenient;0.31;-0.15;-0.16;-0.15;0.07
benevolent;0.3;-0.09;-0.04;-0.11;0.23
unselfish;0.3;0.08;0.06;-0.22;0.05
conscientious;0.3;-0.08;0.3;-0.02;0.19
reverent;0.3;-0.01;0.2;0.06;-0.14
tactful;0.29;-0.06;0.21;-0.02;0.21
earnest;0.29;-0.03;0.07;-0.09;0.22
adaptable;0.27;0.06;0.11;-0.24;0.13
truthful;0.26;-0.01;0.19;-0.22;0.1
naive;0.26;-0.2;-0.21;0.12;-0.18
altruistic;0.25;0;-0.03;-0.06;0.22
compliant;0.24;-0.19;-0.02;0.01;-0.04
natural;0.2;0.09;0.03;-0.17;0.14
suggestible;0.17;0;-0.06;0.07;-0.16
selfless;0.13;-0.12;0;-0.12;0
cold;-0.5;-0.33;0.03;-0.02;0.1
harsh;-0.5;0.03;0.06;0.08;-0.05
rude;-0.5;0.08;-0.15;0;0.06
unsympathetic;-0.48;-0.14;-0.01;-0.16;0.01
antagonistic;-0.47;-0.09;-0.09;0.19;-0.02
abusive;-0.46;0.01;-0.11;-0.03;-0.11
rough;-0.43;0.16;0.03;-0.23;-0.11
inconsiderate;-0.42;-0.06;-0.29;-0.03;0.05
egoistical;-0.42;0.12;-0.09;0.18;0.09
combative;-0.41;0.19;0.07;0.04;-0.09
callous;-0.41;-0.03;0.04;-0.11;-0.21
domineering;-0.41;0.4;0.15;0.1;-0.02
impolite;-0.41;0;-0.25;-0.17;0.15
belligerent;-0.41;0.09;-0.03;0.11;-0.11
ruthless;-0.41;0.09;0.01;-0.07;-0.16
coarse;-0.41;0.01;-0.13;-0.1;-0.17
abrupt;-0.41;0.12;-0.1;0.11;0.07
insincere;-0.4;-0.08;-0.11;0.01;-0.07
cruel;-0.4;0;-0.04;-0.06;0
unkind;-0.4;-0.14;-0.09;-0.12;0.01
insensitive;-0.39;-0.09;-0.04;-0.27;-0.02
impersonal;-0.38;-0.31;0.06;-0.07;-0.02
scornful;-0.38;-0.09;-0.04;0.19;-0.04
uncharitable;-0.38;-0.14;0;0;-0.01
cynical;-0.36;-0.17;-0.11;0.04;0.19
bitter;-0.35;-0.21;-0.06;0.27;0.06
uncooperative;-0.34;-0.02;-0.16;0.05;0.04
demanding;-0.34;0.19;0.15;0.31;0
egocentric;-0.34;0.04;-0.12;0.13;0.12
conceited;-0.34;0.11;-0.12;0.18;0.16
bigoted;-0.34;0.02;-0.07;0.05;-0.17
intolerant;-0.34;0.04;0.04;0.28;-0.08
unforgiving;-0.34;-0.12;-0.02;0.13;0.09
disrespectful;-0.33;0;-0.31;-0.14;0.23
tough;-0.33;0.15;0.13;-0.24;-0.05
sly;-0.33;0.16;0.04;-0.01;0
stubborn;-0.33;0.07;-0.04;0.23;0.05
greedy;-0.33;-0.05;-0.12;0.27;0
argumentative;-0.32;0.16;-0.02;0.22;0.01
bullheaded;-0.32;0.15;-0.08;0.12;0.03
boastful;-0.32;0.29;-0.1;0.17;-0.14
critical;-0.32;-0.01;0.06;0.31;0.17
rebellious;-0.3;0.15;-0.24;0.08;0.29
deceitful;-0.3;0.03;-0.15;0.07;0.14
sarcastic;-0.3;0.03;-0.09;0.16;-0.06
underhanded;-0.29;0.08;-0.08;-0.05;-0.16
